epoch;loss;lr;val_loss
0;3.8944427967071533;0.001;0.1415248066186905
1;0.07200497388839722;0.001;0.03957207873463631
2;0.032502442598342896;0.001;0.026419727131724358
3;0.023698419332504272;0.001;0.019873512908816338
4;0.01844058744609356;0.001;0.015971964225172997
5;0.014415938407182693;0.001;0.012451174668967724
6;0.01084580086171627;0.001;0.009107711724936962
7;0.007746569346636534;0.001;0.006647293921560049
8;0.0051850914023816586;0.001;0.00448162667453289
9;0.0033856865484267473;0.001;0.0032935352064669132
10;0.0022771190851926804;0.001;0.002442918485030532
11;0.0016869048122316599;0.001;0.0018428341718390584
12;0.001342459348961711;0.001;0.0016240300610661507
13;0.0011348811676725745;0.001;0.0014165036845952272
14;0.0009683977114036679;0.001;0.0012824212899431586
15;0.0008550568018108606;0.001;0.0010758006246760488
16;0.0007467324612662196;0.001;0.0009490994270890951
17;0.0006593584548681974;0.001;0.000799009867478162
18;0.0005817958153784275;0.001;0.0007427936652675271
19;0.0004922256921418011;0.00020000001;0.0006830383208580315
