epoch;loss;lr;val_loss
0;0.23448044061660767;0.001;0.08589265495538712
1;0.06627236306667328;0.001;0.06908073276281357
2;0.05973532795906067;0.001;0.06642767041921616
3;0.058201864361763;0.001;0.06532996892929077
4;0.05729654058814049;0.001;0.06444666534662247
5;0.05646611377596855;0.001;0.0631042867898941
6;0.05539390817284584;0.001;0.06169154867529869
7;0.05343308299779892;0.001;0.05885690450668335
8;0.051308780908584595;0.001;0.05724416673183441
9;0.04994487389922142;0.001;0.05612236261367798
10;0.0488753542304039;0.001;0.055387821048498154
11;0.04787566885352135;0.001;0.05394047126173973
12;0.04685203731060028;0.001;0.05262605473399162
13;0.04594969004392624;0.001;0.05230744555592537
14;0.045024238526821136;0.001;0.051844026893377304
15;0.04421151801943779;0.001;0.05073951184749603
16;0.04346218705177307;0.001;0.04947652667760849
17;0.042749859392642975;0.001;0.04861690104007721
18;0.04202114790678024;0.001;0.04776971414685249
19;0.04125796630978584;0.001;0.047648243606090546
